RegID,LAT,LONG,Description,Date,Monument Type,Inside a church?,Related Person,Represents related person (in text or image)?,Text on monument,Listed or scheduled?,Listing URL,Representation,Linked to slave-ownership?,Absentee?,Titles and jobs of related person,Represents enslaved person/s?,Abolitionist?,Linked to a slave revolt?,Designer/Maker,"Covered, modified, moved, or removed?",Link to person’s profile in the Legacies of British Slavery project,Related sites of historic slavery,LOC1LAT,LOC1LONG,LOC2LAT,LOC2LONG,LOC3LAT,LOC3LONG,LOC4LAT,LOC4LONG,LOC5LAT,LOC5LONG,LOC6LAT,LOC6LONG,LOC7LAT,LOC7LONG,LOC8LAT,LOC8LONG,LOC9LAT,LOC9LONG,LOC10LAT,LOC10LONG,LOC11LAT,LOC11LONG,LOC12LAT,LOC12LONG,Notes,Contributor Credit,Label,Type,
BM000878,50.15884505848970,-5.0677477508670500,Memorial to James Galloway,1833,Plaque,Y,James Galloway,Y,"Sacred to the memory of James Galloway sq., late of this parish, and of Unity Hall St James who died on the XXVIII day of August MDCCCXXXIII aged LXXV years, resident 56 years in Jamaica. He secured the esteem of society by the kindness and integrity of his private character while during the Maroon War and as a Magistrate and member of the Assembly he faithfully discharged his public duties.",Y,https://historicengland.org.uk/listing/the-list/list-entry/1270080?section=official-list-entry,,Linked to Slave-ownership,Yes,"slaveowner, Lieutenant Colonel, politician",N,No,Y,,,https://www.ucl.ac.uk/lbs/person/view/2146644857,"Amity Hall Jamaica, Braco Estate Jamaica, Propsect Pen Jamaica, Richmond Pen Jamaica, Stewart Castle estate Jamaica, Unity Hall Jamaica, Williamsfield Jamaica",,,,,,,,,,,,,,,,,,,,,,,,,"This monument has a tangential link to a group of enslaved people who liberated themselves. An advert for a runaway slave records the name of Caesar, Will, Dick, Port Royal and Valentine, who escaped in 1776, from the previous owner of Unity Hall, which Galloway bought in 1809. “26 September 1776. Cornwall Chronicle St. James. Run away, from Unity Hall Penn, the property of WILLIAM BUCKNOR, Esq., adjoining to  Unity Hall Estate, on Sunday night the 22nd instant, five new Negroes of the Concaw [Canga]  country, viz., CAESAR, WILL, DICK, and PORT ROYAL, and VALENTINE a stout man-boy;  they are all unmarked, and speak little or no English; Valentine has lost one of his toes, and  Will’s hands are white on the outside. Whoever will give information where they may be found,  shall receive Five Pounds reward.” See Douglas B. Chambers, Runaway Slaves in Jamaica (I): Eighteenth Century, Feb 2013, p.12",,"Caesar, Will, Dick, Port Royal and Valentine",Escapee,
BM000877,51.459576694663400,-2.611097638623910,Charles Edward and Barbera Bernard memorial,1838,Plaque,Y,Charles Edward Bernard,Y,"Sacred to the Memory of BARBARA BERNARD, Wife Of CHARLES EDWARD BERNARD of this Parish, Doctor of Medicine
who died September 4th, 1838, Also of the said CHARLES EDWARD BERNARD who died Nov. 18th, 1842 their remains lie interred in the Crypt of this Church. Also of WILLIAM RHODES BERNARD, of Lincoln&#039;s Inn, Born at London eldest Son of the above, who died July 20th, 1845, and whose remains are deposited in Fremington Church yard North Devon Also of MARION CAPEL BERNARD,
only child of CHARLES EDWARD BERNARD of this City and Parish, Merchant granddaughter of the above CHARLES EDWARD and BARBARA BERNARD who died August 25th, 1845 Her remains lie in a private vault in the Church yard Also of SUSANNA JAMES TAWNEY Wife of the Revd RICHARD TAWNEY, Vicar of Willoughby, Yorkshire youngest daughter of the above CHARLES EDWARD and BARBARA BERNARD who died Jany 6th 1846 whose remains also lie in the Crypt of this Church.",Y,https://historicengland.org.uk/listing/the-list/list-entry/1207682?section=official-list-entry,,Linked to Slave-ownership,Yes,doctor,N,No,Y,,,https://www.ucl.ac.uk/lbs/person/view/14918,"Sod Hall estate Jamaica, Childermas estate Jamaica",,,,,,,,,,,,,,,,,,,,,,,,,"An advert for a runaway slave of 1781 records the name of James, once owned by Charles&#039; father - William Rhodes Bernard the elder, of the same estate Charles inherited, Childermas.  “11 September 1781 Cornwall Chronicle Montego Bay. Run away, about the middle of July last a stout, well made Negro fellow named JAMES, but will  probably assume some other name, and endeavour to pass for a free man. He was formerly the  property of WILLIAM R. BERNARD, Esq., but has no brand-mark. Whoever secures him, and  gives information thereof to the Subscriber, shall be thankfully rewarded. H. FARQUHARSON.” p.58,",,James,Escapee,
BM000874,51.410542705531600,-2.321120953972040,Tombstone to Charlotte Beckford,1823,Tomb or Mausoleum,N,"Charlotte Beckford, William Beckford of Somerley",Y,ELIZABETH HAY DIED NOV. 30. 1823 AGED 57. CHARLOTTE BECKFORD RELICT OF THE LATE WILLIAM BECKFORD ESQR. OF HERTFORD IN THE ISLAND OF JAMAICA DIED MAY 24TH. 1833 AGED 75 YEARS SARAH HAY DIED DECEMBER 9 1841 AGED 76.,Y,https://historicengland.org.uk/listing/the-list/list-entry/1320501?section=official-list-entry,,Linked to Slave-ownership,Transatlantic,Planter,0,No,Y,,,https://www.ucl.ac.uk/lbs/person/view/2146634868,"Fort William Jamaica, Hertford Jamaica, Roaring River Jamaica, Smithfield Wharf Jamaica, Williamsfield Jamaica",,,,,,,,,,,,,,,,,,,,,,,,,"The monument is described as &quot;In the churchyard. On a flat , stone over an altar-tomb, enclosed by iron railings. The lettering is very large and deeply cut,&quot; in Monumental Inscriptions in England relating to Jamaica. http://www.jamaicanfamilysearch.com/Members/bcarib16.htm.

William Beckford of Somerley was a planter, dying in London in 1799. His own grave is not yet identified. An article of 14 Dec 1776 in the Jamaican Cornwall Chronicle records a nameless slave who escaped one planation he is recorded as owning, Williamsfield. &quot;14 December 1776. Cornwall Chronicle.  Ran away, from Williamsheld Estate in Westmoreland, belonging to WILLIAM BECKFORD,  Esq., since April last, a new Negro MAN, marked on the right shoulder W B, ◊ between. He is very remarkable, having the great toes of both feet double. Whoever will deliver him to Mr.  RICHARD MILBURN, at Montego Bay, or to the Proprietor in Westmoreland, shall receive a Pistole reward.&quot; Runaway Slaves in Jamaica (I):  Eighteenth Century, Edited by  Douglas B. Chambers, University of Southern Mississippi , 2013. p,13",,Unnamed Enslaved Man,Escapee,
BM000873,51.5000507477828,-0.12734221534377100,Statue of Admiral Charles Holmes in Westminster Abbey,1761,"Crest or coat of arms,Plaque,Statue bust or relief",Y,Charles Holmes,Y,"To the memory of Charles Holmes Esqr. Rear Admiral of the White. He died the XXI of November MDCCLXI, Commander in Chief of His Majesty&#039;s fleet statione&#039;d at Jamaica, aged L.Erected by his gratefull neeces Mary Stanwix and Lucretia Sowle.",Y,https://historicengland.org.uk/listing/the-list/list-entry/1291494?section=official-list-entry,,Linked to governmental administration of slavery,No,Admiral,N,No,Y,Joseph Wilton,,,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,"As Jamaica squadron commander, Holmes played his role in suppressing the great Jamaican slave revolt of 1760-61, Tacky&#039;s revolt. Following the Westmorland stage of the revolt, he wrote &quot;the whole Island remained in great Terror and Consternation for some time, having had more Evidence than before of their Disobedience &amp; Revolt being intended to be universal.” Holmes to Cleveland, 11 June 1760, TNA, ADM 1/236, f. 41. Cited in http://revolt.axismaps.com/project.html#ftnt2",,"Tacky's Revolt, 1760",Revolt,
BM000872,52.904331169756400,1.265633969312460,Frederica Marina Cecilia Forrest Windham at St Margaret&#039;s Church,1824,Plaque,Y,Admiral Arthur Forrest,Y,"Sacred to the memory of Cecilia Frederica Marina Windham who was born 7th October 1750 and died 5th May 1824. She was the daughter of commodore Arthur Forrest and married 14th July 1798 to the Rt Hon William Windham of Felbrigg whom she survived during fourteen years cherishing in the widowhood of her affections all the grief and all the consolation which the memory of such a man was fitted to renew in her conscience was an ever watchful principle. Informed and regulated by the revealed word of god in christ thro’ whom she derived that wisdom which is pure, placeable, gentle, and easy to be entreated, full of mercy and good fruits, the affections of her heart shone forth in her manners and conversation cheerful courteous, kind, unassuming liberal denying herself and living unto god she cared for others who deplore in her death their own immeasurable loss.",Y,https://historicengland.org.uk/listing/the-list/list-entry/1373643?section=official-list-entry,,Linked to Slave-ownership,Yes,Admiral,N,No,Y,,,https://www.ucl.ac.uk/lbs/person/view/2146643075,,,,,,,,,,,,,,,,,,,,,,,,,,"Admiral Arthur Forrest was her father, also prominently named on this plaque. He was owner of Masemure estate, among others, during the time of Tacky&#039;s revolt, which was subject to an uprising of 174 rebels, with leaders named Wager, Aguy, Simon and Goliath. &quot;an Insurrection broke out in the Parish of Westmoreland at an Estate belonging to Mr. Forrest. The agent for the Estate (Smith), a White Woman, the overseer, the Book keeper, Hoare a Captain of a Ship, his nephew &amp; another Captain of a ship one Richardson were setting at Supper Witsun Evening, &amp; the first intimation they had was a volley of small arms being fir&#039;d in at the window by w.ch Smith was shot dead, the others attempted to make their escape, but the Negroes rush&#039;d in upon them, &amp; Murdered them all, Except Richardson who owes his Escape to his agility.&quot;-- Francis Treble, 2 June 1760. Cited in http://revolt.axismaps.com/map/",,"Tacky's Revolt, 1760",Revolt,
BM000871,55.949951886187300,-3.206341469312460,tombstone to John Gordon of Cluny and children at St Cuthberts Church,1858,Gravestone,N,John Gordon 4th of Cluny,0,Here lie interred Joanna Trotter who died 7th Sept 1798/  CHARLES GORDON who died 15th May 1814/  MARY STEEL GORDON who died [illegible] July 1833/  MARY GORDON who died 7th July 1846/  COLONEL JOHN GORDON OF CLUNY.who died 16th July 1858,Y,,,"Linked to Slave-ownership,Claimant under the 1837 slave compensation act",Yes,Colonel,N,No,Y,,,https://www.ucl.ac.uk/lbs/person/view/1301318774,Bacolet Tobago,11.175642815805700,-60.72600151726140,,,,,,,,,,,,,,,,,,,,,,,"Inherited Bacolet, and other plantations on Tobago, alongside Alexander Gordon, under the will of his uncle Alexander Gordon (senior) in Sept 1801. This plantation and others were recorded as sites of the 1801 Tobago slave conspiracy. See LAURENCE, K. O. “THE TOBAGO SLAVE CONSPIRACY OF 1801.” Caribbean Quarterly 28, no. 3 (1982): 1–9. http://www.jstor.org/stable/40653501.",,1801 Tobago Slave Conspiracy,Revolt,
BM000876,51.52325006953690,-0.0445874071458698,Abraham Aguilar and Judith Aguilar tombstone/s,1794,Gravestone,N,"Abraham Aguilar, Judith Aguilar",Y,,N,,,Linked to Slave-ownership,Transatlantic,slave-owner,Y,No,Y,,1974,https://www.ucl.ac.uk/lbs/person/view/2146665211,Banks estate Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,"Abraham Aguilar of Devonshire Square, recorded as buried in Novo Beth Chaim Cemetery, Mile End Road. His wife Judith, who inherited his plantations and slaves, also buried there in 1825. The specific stones are not identified. In 1974 many of the graves were moved to a new site at Brentwood Cemetary, Essex. A workhouse list of 1779 of Kingston Goal, Jamaica, records the name of an enslaved person (and presumed runaway), Susannah. “SUSANNAH, to ABRAHAM AGUILAR, 9/5.” See Douglas B. Chambers, Runaway Slaves in Jamaica (I): Eighteenth Century, Feb 2013, p.177",,Susannah,Escapee,
BM000869,53.07801312462540,-1.2386792153437700,Funereal statue to Sophia Catherine nee Heywood at Annesley All Saints,1819,"Plaque,Statue bust or relief",Y,"Sophia Catherine Musters, James Modyford Heywood",Y,"To the memory of Sophia Catherine Musters this monument was erected by her affectionate husband. If truth, if goodness, charity and grace, can in heaven’s holy record find a place: thy name, sophia, with an angel’s pen, is traced on leaves of bliss by saintly men. Died September 19th 1819 aged 61 years.",Y,https://historicengland.org.uk/listing/the-list/list-entry/1275939?section=official-list-entry,,Linked to Slave-ownership,No,MP,N,No,Y,Richard Westmacott,1937,https://www.ucl.ac.uk/lbs/person/view/2146649387,Heywood Hall Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,"Sophia Catherine was daughter of James Modyford Heywood, whose plantation was, under his ownership, a key site of Tacky&#039;s revolt of 1760. See https://southwellchurches.nottingham.ac.uk/annesley/hmonumnt.php for an image of the monument and http://revolt.axismaps.com/ for a map of Tacky&#039;s revolt.",,"Tacky's Revolt, 1760",Revolt,
BM000870,51.703390114794400,-0.2894261232811430,Floor stone to James Modyford Heywood,1798,Plaque,Y,James Modyford Heywood,Y,"James Modyford Heywood esqr of Maristow Devonshire
Died march 22nd 1798 aged 68",Y,https://historicengland.org.uk/listing/the-list/list-entry/1308251?section=official-list-entry,,Linked to Slave-ownership,Yes,MP,N,No,Y,,,https://www.ucl.ac.uk/lbs/person/view/2146649387,Heywood Hall Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,"absentee owner of Heywood Hall, a key site of Tacky&#039;s Revolt in 1760. See http://revolt.axismaps.com/map/ for a map of the revolt, which offers the following citations: &quot;...Thence they marched to Whitehall, where they killed one white Man, and then proceeded to Haywood Hall, where they burnt a Cane Piece, and the Wind Mill, and at Eleven sat down to regale themselves, in the Road to Ballard Valley... Mr. Bayly... attacked them, killed eight, and took four, the rest retreating into the wood, where they rendezvoused.&quot; --Letter from a Gentleman at St. Mary&#039;s, 14 April 1760.&quot; The rebels were &quot;found at Haywood-Hall, roasting an ox by the flames of the buildings, which they had set on fire. The Whites attacked them with great fury, killed eight or nine on the spot, took several of them prisoners, and drove the rest into the woods, where they acted afterwards wholly on the defensive.&quot; --Bryan Edwards, History of the West Indies. See also other British funereal monuments linked to Haywood Hall and this revolt.",,"Tacky's Revolt, 1760",Revolt,
BM000885,51.52873402423330,-0.21749029206413700,William Rhodes James IV funereal monument,1842,Gravestone,N,William Rhodes James IV,Y,,Y,https://historicengland.org.uk/listing/the-list/list-entry/1000817?section=official-list-entry,,Linked to Slave-ownership,Yes,slaveowner,N,No,Y,,,https://www.ucl.ac.uk/lbs/person/view/23186,Haughton Tower estate Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,"Monument not seen, either a gravestone or tomb in Kensal Green cemetary. There is a gravestone to his first son of the same name in St. Mary&#039;s Parish Church, Lucea, Hanover, Jamaica. Memorials to his two wives have not been identified, one of which is likely in Suffolk. A &#039;runaway slave&#039; advert of 1777 records the names of Mars, March and Phoebe, who liberated themselves from enslavement by Williams&#039; father William Rhodes James III (or grandfather, William Rhodes James II: the estate was possible jointly owned by them at the time of this escape). The advert notes three of them bore the mark WRI, reflecting the name of their owner, linking the name marked in stone in Kensal Green to the name marked by a metal brand on skin in various Jamaican estates. “31 January 1777 (placed in 1780). Cornwall Chronicle . Montego Bay. Ran away, about ten days ago from Clifton Hill, a Negro man named MARS, about 5 ft. 10-1/2  in. high, marked on his right shoulder either E I, with a crow’s foot, or E I, S on top. Also  runaway from Southfield Estate in Trelawny, a Negro man named MARCH, and a woman named  PHOEBE, lately the property of WILLIAM RHODES JAMES, Esq., and are marked W R I, as  also with the last of the above two marks. Any person giving information where they are  harboured so that the proprietor may have them again, shall be rewarded for their trouble, as shall  any person who will apprehend and lodge them in any of the gaols, giving due information  thereof to the owners. EDMUND JACKSON.” See Douglas B. Chambers, Runaway Slaves in Jamaica (I): Eighteenth Century, Feb 2013, p.17-18.",,"Mars, March and Phoebe",Escapee,
BM000886,51.502018847685700,-0.09265478465597720,Robert McGhie memorial,1815,Plaque,Y,Robert McGhie,Y,"Robert McGhie, late proprietor of the Retreat, Hampstead, and Coxheath Plantations in Jamaica, d. 1815.",Y,https://historicengland.org.uk/listing/the-list/list-entry/1378366?section=official-list-entry,,Linked to Slave-ownership,Yes,slaveowner,N,No,Y,,,https://www.ucl.ac.uk/lbs/person/view/2146645391,"Hampstead Jamaica, Greenside Jamaica, Coxheath Jamaica",,,,,,,,,,,,,,,,,,,,,,,,,"McGhie&#039;s memorial plaque is on the North side wall of the Sanctuary, according to the 1955 Survey of London. Two ‘runaway slave’ adverts record the name of Charles, who following the example of other escapees liberated himself in 1777 from McGhie’s enslavement and was suspected of obliterating his slave brand; and of Amy, who escaping another slaveowner, facilitated her escape by disguising herself as belonging to McGhie. “24 April 1777. Cornwall Chronicle. St. James. Run away, from the Subscriber on the 2nd instant, two Negro men of the Moco or Bebe country,  marked on the right shoulder T S, ◊ on top, had on when they went away, oznaburg frocks. One a  stout, able fellow, with cut teeth, about 5 ft. 10 in. high, named GOLIAH; the other is a stout  fellow about 5 ft. 8 in. high, and answers to the name of JOHN. They are both new Negroes, and  speak very little English. Whoever will secure them, or either of them, or will bring them to me at Blue Hole Estate, or to RICHARD SAMUELLS, Esq., at Bellmount, from whence they ran  away to work at Tom’s Spring in Trelawny, or to Richard McBurn, Montego Bay, shall receive a  Pistole reward, and all charges. Also runaway from said Subscriber, on the 25th of July 1775, a  Negro man, named CHARLES, was then a new Negro, and spoke little or no English, is of the Moco country, from Green-side Estate in Trelawny, the property of ROBERT McGHIE, Esq.,  marked T S, ◊ on top; it is not known but the mark might be obliterated. He is a stout, squat fellow, about 5 ft. 5 in. high, round visaged, and very black. Whoever will secure or bring said Negro as above, shall receive the same reward. THOMAS STENNETT.” “8 November 1782. Cornwall Chronicle. Hanover. Run away, from the Subscriber the 22d of April 1781, a Congo wench named AMY, about 40  years of age, 5 ft. 1 or 2 in. high, has a remarkable scar about her mouth from a burn, and (if  visible) [sic] marked on the shoulder B B, ◊ on top, or S B. Also, her daughter SARAH, about 25  years of age and 5 ft. 3 or 4 in. high; she is proportionably well made, her hair and complexion  much like a sambo, has full eyes and brazen look, which makes her the less suspected; she has  passed for some time as free, by the name of SALLY, at others for a wench belonging to McGHIE. It is supposed they are harboured at Blue Hole Estate in this parish, by their husbands.  Ten Pounds reward for each will be given to any person proving them harboured, on conviction  of the offender, if a white person, and five if by people of colour; or two Pistoles on lodging them  in any of the gaols, giving information thereof to Richard Brissett, Esq., Trelawny, George Croll  in Hanover, William Russell in Westmoreland, or the Subscriber in St. Mary. STEPHEN  BRADFORD.” See Douglas B. Chambers, Runaway Slaves in Jamaica (I): Eighteenth Century, Feb 2013, p.24, 72-3.",,Charles,Escapee,
BM000889,51.5193752279822,-0.09950323862390870,Sarah Savell memorial monument,1800,Plaque,Y,"Joel Savell, Sarah Savell",Y,,Y,https://historicengland.org.uk/listing/the-list/list-entry/1180873?section=official-list-entry,,Linked to Slave-ownership,Resident,,N,No,Y,,,https://www.ucl.ac.uk/lbs/person/view/2146648497,Acton Estate Trelawney Jamaica ,,,,,,,,,,,,,,,,,,,,,,,,,"Sarah lived in London while her husband was a resident planter in Jamaica. A ‘runaway slave’ advert of 1783 records the names of Ajax, Club and Claret who escaped slavery. They are recorded as branded with the initial of ’S’, presumably for Savell, materially linking his name on this stone monument in London to his brand name in steel and on skin in Trelawny. “5 June 1783. Cornwall Chronicle. Trelawny. Run away, from Acton Estate in this parish in February last, three Negro men, of the Moco country, named AJAX, CLUB, and CLARET. Ajax is a stout, well made Negro about 5 ft. 8 in. high, has a sulky look, filed teeth, and marked S on the right cheek and shoulder. Club, about  [illegible]. Claret, a slim made, middle sized Negro, has lost two or three of the small toes off  one of his feet, and marked S on the right shoulder. They were seen in April last near Duncans’ in the said parish, where they are supposed to be harboured. Any person securing the above Negroes, or either of them, in any of the gaols or workhouses, giving notice thereof to Messrs.  John and James Palmer, Montego Bay, Mr. David Lyon at the Point, Martha-Brae, or the  Subscriber at Acton, shall receive a Half-Joe reward for each; but if harboured or concealed, on  conviction of the offender, if by a white person, forty Pounds, and if by a mulatto or Negro, ten Pounds. JOEL SAVELL.” See Douglas B. Chambers, Runaway Slaves in Jamaica (I): Eighteenth Century, Feb 2013, p.78-9.",,"Ajax, Club and Claret",Escapee,
BM000890,51.20263760471860,-0.4053807306880460,James Scarlett gravestone,1844,Gravestone,N,James Scarlett,Y,,Y,https://historicengland.org.uk/listing/the-list/list-entry/1378082?section=official-list-entry,,"Linked to Slave-ownership,Claimant under the 1837 slave compensation act",Yes,,N,No,Y,,,https://www.ucl.ac.uk/lbs/person/view/14399,Spring Grove Manchester Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,"Gravestone not observed, recorded as Plot 12. James&#039; father, Robert Richard James Scarlett, took out a &#039;runaway slave&#039; advert that records the name of Moll, who liberated herself from his enslavement. “3 August 1781. Cornwall Chronicle. Montego Bay. Run away, from the Subscriber about four weeks ago a Negro woman slave, named MOLL. She is an American born, remarkably tall and slim, of a black complexion, speaks good English, and  is marked R S, 4 on top, on both shoulders. It is expected she will change her name, and  endeavour to pass for a free woman. Whoever takes up said Negro, and gives information  thereof, or sends her to the Subscriber, shall be paid all reasonable charges. ROBERT SCARLETT.” See Douglas B. Chambers, Runaway Slaves in Jamaica (I): Eighteenth Century, Feb 2013, p.56. James&#039; mother Elizabeth reportedly saw her first husband &quot;murdered before her eyes in March 1764 on Mr. Griswold&#039;s estate, by rebellious slaves&quot; (see LBS database).",,Moll,Escapee,
BM000891,51.5094719069484,-0.12623771587172600,Philip Anglin Scarlett memorial,1823,Other Monument,N,Philip Anglin Scarlett,Y,,Y,https://historicengland.org.uk/listing/the-list/list-entry/1217661?section=official-list-entry,,Linked to Slave-ownership,Yes,,N,No,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monument unseen, possibly either a gravestone since removed (Phillip died in 1823, the graveyard was emptied 15 years later in 1937), or a plaque inside the church. His father, Robert Richard James Scarlett, took out a &#039;runaway slave&#039; advert that records the name of Moll, who liberated herself from his enslavement. “3 August 1781. Cornwall Chronicle. Montego Bay. Run away, from the Subscriber about four weeks ago a Negro woman slave, named MOLL. She is an American born, remarkably tall and slim, of a black complexion, speaks good English, and  is marked R S, 4 on top, on both shoulders. It is expected she will change her name, and  endeavour to pass for a free woman. Whoever takes up said Negro, and gives information  thereof, or sends her to the Subscriber, shall be paid all reasonable charges. ROBERT SCARLETT.” See Douglas B. Chambers, Runaway Slaves in Jamaica (I): Eighteenth Century, Feb 2013, p.56. Additionally, his mother Elizabeth reportedly watched &quot;murdered before her eyes in March 1764 on Mr. Griswold&#039;s estate, by rebellious slaves&quot; (see LBS database). See also the monument to his brother, James Scarlett.",,Moll,Escapee,
BM000895,50.84922111797450,-1.2331918316138100,John Blagrove memorial,1824,Tomb or Mausoleum,N,John Blagrove,Y,In Memory of John Blagrove esq of the isnaldn of Jamaica and great adshot in this country died 9 April 1824 aged 70 years,Y,https://historicengland.org.uk/listing/the-list/list-entry/1351279?section=official-list-entry,,Linked to Slave-ownership,Transatlantic,,N,No,Y,,,,"Belle Air Pen Jamaica, Cardiff Hall Jamaica, Lawrence Hall Jamaica, Moggotty Jamaica, Orange Bay Estate Jamaica, Orange Valley Estate Jamaica, Pear Tree Bottom Jamaica, Pembroke Estate Jamaica, Stinking Valley Jamaica, Unity Pen Jamaica",,,,,,,,,,,,,,,,,,,,,,,,,"A runaway slave advert of 3 March 1813 in the Cornwall Chronicle records the name of Budget or Henry, who escaped his next owner: &quot;St. Ann. Workhouse. Ran away, from the driver this day, a creole Negro named BUDGET, alias HENRY, 5 ft. 11 in. high, stout made, no mark, formerly belonged to JOHN BLAGROVE, Esq., Cardiff-Hall Estate (where it is supposed he is gone) [sic], but sentenced to this workhouse for life. Whoever returns the said Negro, or lodges him in any workhouse, and give information to the Subscriber, shall receive two Pistoles reward. JOHN KENDRICK.&quot; Blagrove&#039;s will also states &quot;...And lastly, to my loving people, denominated and recognized by the law as, and being in fact my slaves, in Jamaica, but more estimated and considered by me and my family as tenants for life, attached to the soil, I bequeath a dollar for every man, woman, and child as a small token of my regard for their faithful and affectionate service and willing labours to myself and my family, being reciprocally bound in one general tie of master and servant in the prosperity of the land, from which we draw our mutual comforts and subsistence in our several relations (a tie and interest not practised on by the hired labourer of the day in the UK), the contrary of which doctrine is held only by the visionists of the puritanical orders against the common feeling of mankind.&quot;",,Budget or Henry,Escapee,
BM000897,53.44692893997780,-2.9670881460320700,Mary Raynes Barret Waite Appleton memorial at Walton Parish Churchyard,1812,"Gravestone,Plaque",N,Mary Raynes Barret Waite Appleton,Y,,Y,https://historicengland.org.uk/listing/the-list/list-entry/1062573?section=official-list-entry,,Linked to Slave-ownership,Resident,slave owner,N,No,Y,,,https://www.ucl.ac.uk/lbs/person/view/2146644263,"Barrett hall pen Jamaica, blue hole estate Jamaica, Moreland Jamaica",,,,,,,,,,,,,,,,,,,,,,,,,"Extant gravestone not identified, but recorded in burial listings. Mary was the daughter of Raynes Barratt Waite,  slaveowner of Jamaica. A runaway slave advert of 7 July 1815 in the Jamaican Cornwall Chronicle records the name of Will, who freed himself and perhaps escaped by sea: &quot;Montego Bay. Ran away, about ten days ago, a Negro man named WILL, about 5 ft. 9 in. high, of a dark complexion, and slim made. It is supposed that he will endeavour to get off the island the fleet; all masters of vessels are cautioned from carrying said Negro off. A liberal reward will be paid to any person giving information where he is to be found, or lodge him in any gaol or workhouse, upon application to the Subscriber. RAYNES WAITE.&quot; This Raynes Waite may be either Mary&#039;s father or a separate Raynes Waite who was also a slaveowner in Jamaica at the same time.",,Will,Escapee,
BM000907,52.18934417573330,-2.2206635846559800,plaque and sculpture memorial for Mary Hall,1794,"Crest or coat of arms,Plaque,Statue bust or relief",Y,"Mary Hall, William Hall of Bath",Y,Sacred to the memory of Mary the truly regretted wife of William hall esq. of island of Jamaica and of bevere near this city. On the 11th of April 1794 in the 45th year of her age she was suddenly taken from this world to a life of eternal happiness. Her family most sensibly feel the loss of one of the best of wives and tenderest of mothers and the many virtues she possessed make her justly lamented by all her acquaintances.,Y,https://historicengland.org.uk/listing/the-list/list-entry/1389728?section=official-list-entry,,Linked to Slave-ownership,Unknown,,N,No,Y,William Stephens,,https://www.ucl.ac.uk/lbs/person/view/2146634340,"Kempshot pen Jamaica, round hill estate Jamaica, Worcester Jamaica",,,,,,,,,,,,,,,,,,,,,,,,,"This detailed relief wall monument features the text and above it, a coat of arms, a sculpture of a woman reading, and an urn with a wreath. See also other monuments linked to her husband. A ‘runaway slave’ advert of 1782 records the name of Dundee, an enslaved man who liberated himself from William Hall’s enslavement. “14 November 1782 Cornwall Chronicle. St. James Run away, from Worcester Estate the 27th of May last, a Negro man of the Succo country named  DUNDEE. Supposed to be marked T R; he is about 5 ft. 6 in. high, meagre, and has a remarkable  grey head and beard, a mark of a cut across his belly, and generally troubled by sore ears. He  talks very good English, and will probably pretend that his master has given him his liberty on  account of his old age. Whoever delivers said Negro to Mr. DAVID COOPER at Montego Bay,  the overseer on the above Estate, or lodge him in any gaol or workhouse, shall be gratefully rewarded.” See Douglas B. Chambers, Runaway Slaves in Jamaica (I): Eighteenth Century, Feb 2013, p.73",,Dundee,Escapee,
